,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-10neg-epoch1-part1,0.0905321354526609,0.122322045611611,0.1455885740612775,0.1594102741303862,0.1741534208707689,0.184750057590419,0.2013360976733495,0.2144667127390028,0.2513245795899596,0.3084542732089425,0.3579820317899155
bert-base-german-cased-GermanDPR-10neg-epoch1-part2,0.0937571988021196,0.1294632573139839,0.1513476157567395,0.1702372725178548,0.184289334254782,0.1944252476387951,0.2075558627044484,0.2202257544344648,0.2614604929739726,0.3208938032711403,0.3704215618521134
bert-base-german-cased-GermanDPR-10neg-epoch1-part3,0.0953697304768489,0.1310757889887133,0.1538815941027427,0.1681640175074885,0.1815249942409603,0.1923519926284288,0.2089380327113593,0.2252937111264714,0.2667588113337977,0.3248099516240545,0.3773324118866678
bert-base-german-cased-GermanDPR-10neg-epoch1-part4,0.094909007141212,0.129002533978347,0.1515779774245579,0.1681640175074885,0.179451739230594,0.1902787376180625,0.2057129693619006,0.2190739460953724,0.2616908546417911,0.3165169315825892,0.364432158488833
bert-base-german-cased-GermanDPR-10neg-epoch1-part5,0.1008984105044925,0.1372955540198122,0.1580281041234754,0.1720801658604026,0.1838286109191451,0.1948859709744321,0.2105505643860887,0.2246026261230159,0.2662980879981607,0.325040313291873,0.3787145818935787
bert-base-german-cased-GermanDPR-10neg-epoch1-part6,0.0951393688090305,0.1329186823312611,0.1575673807878384,0.173692697535132,0.1840589725869635,0.1941948859709766,0.2084773093757224,0.2220686477770126,0.2665284496659792,0.3294171849804241,0.3796360285648526
bert-base-german-cased-GermanDPR-10neg-epoch1-part7,0.1043538355217696,0.1402902557014524,0.1635567841511189,0.1817553559087787,0.1951163326422506,0.2066344160331745,0.2246026261230159,0.235199262842666,0.279428703063814,0.3379405666897078,0.3994471319972418
bert-base-german-cased-GermanDPR-10neg-epoch1-part8,0.100668048836674,0.1363741073485383,0.1596406357982047,0.1780695692236831,0.1909698226215179,0.201566459341168,0.2186132227597355,0.2305920294862964,0.2771250863856292,0.3395530983644372,0.3939184519695983
bert-base-german-cased-GermanDPR-10neg-epoch1-part9,0.1066574521999544,0.13913844736236,0.1624049758120265,0.1762266758811352,0.1877447592720592,0.1976503109882538,0.2146970744068213,0.2255240727942898,0.2727482146970781,0.330799354987335,0.3874683252706809
bert-base-german-cased-GermanDPR-10neg-epoch1-part10,0.094448283805575,0.1317668739921687,0.1524994240958319,0.1658604008293037,0.1766873992167722,0.1886662059433331,0.2041004376871713,0.2174614144206431,0.2575443446210585,0.3160562082469523,0.3665054134991993
bert-base-german-cased-GermanDPR-10neg-epoch1-part11,0.1061967288643175,0.1425938723796372,0.1651693158258482,0.1801428242340494,0.1930430776318842,0.2038700760193528,0.2199953927666463,0.2328956461644812,0.2755125547108999,0.3367887583506154,0.3969131536512386
bert-base-german-cased-GermanDPR-10neg-epoch1-part12,0.1029716655148588,0.13913844736236,0.1580281041234754,0.173692697535132,0.1882054826076962,0.1960377793135245,0.2149274360746398,0.2303616678184779,0.2732089380327151,0.3312600783229719,0.3837825385855852
bert-base-german-cased-GermanDPR-10neg-epoch1-part13,0.1050449205252251,0.139599170697997,0.1607924441372971,0.1771481225524092,0.1888965676111516,0.1988021193273462,0.2137756277355474,0.2301313061506594,0.2727482146970781,0.3319511633264274,0.3856254319281331
bert-base-german-cased-GermanDPR-10neg-epoch1-part14,0.0981340704906707,0.1317668739921687,0.1538815941027427,0.1702372725178548,0.1815249942409603,0.1886662059433331,0.2029486293480789,0.2165399677493691,0.2642248329877944,0.3181294632573186,0.3720340935268428
bert-base-german-cased-GermanDPR-10neg-epoch1-part15,0.1013591338401294,0.1313061506565317,0.1529601474314688,0.1670122091683961,0.1806035475696863,0.1882054826076962,0.2045611610228082,0.2151577977424583,0.2540889196037813,0.3116793365584012,0.3595945634646449
bert-base-german-cased-GermanDPR-10neg-epoch1-part16,0.0939875604699381,0.1266989173001622,0.1446671273900036,0.1580281041234754,0.1709283575213102,0.1787606542271385,0.1918912692927918,0.2043307993549897,0.2416493895415834,0.2955540198111076,0.3386316516931633
bert-base-german-cased-GermanDPR-10neg-epoch1-part17,0.0903017737848424,0.1209398756047002,0.1402902557014524,0.1515779774245579,0.1651693158258482,0.1723105275282211,0.1882054826076962,0.1985717576595277,0.2349689011748475,0.285187744759276,0.3301082699838795
bert-base-german-cased-GermanDPR-10neg-epoch1-part18,0.0852338170928359,0.1140290255701458,0.1269292789679806,0.1363741073485383,0.1472011057360068,0.156415572448746,0.1730016125316765,0.1824464409122342,0.2209168394379203,0.2658373646625238,0.3056899331951207
bert-base-german-cased-GermanDPR-10neg-epoch1-part19,0.0893803271135685,0.1151808339092382,0.1326883206634426,0.145818935729096,0.156415572448746,0.1647085924902113,0.1812946325731418,0.1912001842893364,0.2292098594793855,0.2743607463718075,0.3231974199493251
bert-base-german-cased-GermanDPR-10neg-epoch1-part20,0.0907624971204794,0.1190969822621523,0.1359133840129013,0.1497350840820101,0.1610228058051156,0.1683943791753069,0.1835982492513266,0.1928127159640658,0.228979497811567,0.274591108039626,0.3220456116102327
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part1,0.1319972356599872,0.1787606542271385,0.2080165860400854,0.2287491361437486,0.2418797512094019,0.2536281962681443,0.2764340013821738,0.2902557014512826,0.3409352683713481,0.402902557014519,0.4519695922598551
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part2,0.13913844736236,0.1884358442755146,0.2174614144206431,0.2418797512094019,0.2559318129463291,0.2706749596867118,0.290946786454738,0.3100668048836718,0.3565998617830047,0.4238654687860007,0.4731628656991553
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part3,0.1356830223450829,0.1833678875835081,0.2135452660677289,0.2386546878599432,0.2533978346003259,0.2739000230361705,0.2946325731398337,0.3102971665514903,0.3531444367657275,0.4181064270905387,0.4692467173462411
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part4,0.145818935729096,0.2038700760193528,0.2315134761575703,0.2582354296245139,0.2778161713890847,0.2918682331260119,0.3155954849113153,0.3319511633264274,0.380787836903945,0.4469016355678486,0.4994240958304619
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part5,0.1566459341165645,0.2149274360746398,0.2451048145588606,0.2755125547108999,0.2941718498041967,0.3100668048836718,0.3314904399907904,0.3496890117484503,0.3962220686477831,0.4618751439760498,0.5125547108961123
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part6,0.1591799124625678,0.2206864777701018,0.2506334945865041,0.2768947247178108,0.2953236581432891,0.3109882515549457,0.3317208016586089,0.3478461184059024,0.4017507486754266,0.4667127390002378,0.5141672425708412
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part7,0.1704676341856733,0.2326652844966627,0.2706749596867118,0.2955540198111076,0.3174383782538632,0.3358673116793415,0.3572909467864601,0.3777931352223048,0.4266298087998224,0.4913614374568151,0.5404284727021416
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part8,0.1776088458880461,0.2393457728633986,0.2764340013821738,0.3010826998387511,0.3213545266067773,0.3365583966827969,0.3568302234508231,0.3777931352223048,0.4287030638101887,0.492743607463726,0.5385855793595942
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part9,0.1782999308915016,0.2423404745450388,0.2817323197419988,0.3075328265376685,0.330338631651698,0.3450817783920807,0.3669661368348362,0.3874683252706809,0.4351531905091061,0.4991937341626434,0.5487214927436048
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part10,0.1812946325731418,0.2476387929048639,0.2831144897489097,0.3109882515549457,0.330338631651698,0.3450817783920807,0.3715733701912058,0.3890808569454103,0.4390693388620203,0.5003455425017358,0.5507947477539706
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part11,0.1766873992167722,0.2372725178530323,0.2778161713890847,0.3033863165169359,0.3220456116102327,0.3340244183367937,0.358212393457734,0.3771020502188493,0.4268601704676409,0.4936650541349999,0.5498733010826969
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part12,0.1695461875143993,0.2356599861783029,0.2686017046763455,0.2950932964754706,0.3142133149044044,0.3312600783229719,0.352453351762272,0.3688090301773841,0.4199493204330865,0.4872149274360825,0.5383552176917757
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part13,0.1663211241649406,0.2303616678184779,0.2637641096521574,0.2863395530983684,0.3066113798663946,0.3202027182676849,0.3455425017277176,0.3642017968210145,0.4125777470628952,0.4800737157337096,0.5282193043077651
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part14,0.1706979958534917,0.2333563695001181,0.2658373646625238,0.2902557014512826,0.308223911541124,0.3282653766413317,0.3510711817553612,0.3688090301773841,0.4162635337479908,0.4809951624049836,0.5291407509790388
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part15,0.1741534208707689,0.2375028795208508,0.274591108039626,0.3029255931812989,0.3208938032711403,0.3367887583506154,0.3605160101359188,0.3800967519004896,0.4277816171389148,0.5008062658373726,0.5494125777470601
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part16,0.179451739230594,0.2494816862474117,0.2904860631191011,0.3128311448974936,0.3337940566689752,0.3492282884128133,0.3757198802119385,0.3913844736235951,0.4399907855332942,0.5109421792213833,0.558627044459797
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part17,0.1845196959226005,0.2467173462335899,0.2854181064270945,0.3100668048836718,0.3280350149735132,0.3404745450357111,0.3651232434922884,0.380787836903945,0.4335406588343768,0.5012669891730095,0.5503340244183338
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part18,0.1888965676111516,0.2533978346003259,0.291407509790375,0.3199723565998664,0.3395530983644372,0.3540658834370014,0.3771020502188493,0.3969131536512386,0.4469016355678486,0.5192351992628466,0.5673807878368972
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part19,0.1863625892651483,0.2501727712508672,0.2884128081087347,0.3116793365584012,0.3331029716655198,0.3499193734162688,0.3743377102050276,0.3925362819626874,0.4455194655609377,0.5148583275742965,0.5588574061276155
bert-base-german-cased-GermanDPR-XQA-10neg-epoch1-part20,0.1835982492513266,0.2510942179221411,0.2904860631191011,0.3155954849113153,0.335636950011523,0.3508408200875427,0.3738769868693906,0.3925362819626874,0.4434462105505714,0.5127850725639307,0.5595484911310707
bert-base-german-cased-GermanDPR-XQA-HP-10neg-epoch1-part1,0.2096291177148148,0.28633955309836845,0.33241188666206434,0.36005528680028187,0.3796360285648526,0.39599170697996466,0.42639944713200395,0.448053443906941,0.5074867542041069,0.5853489979267342,0.6500806265837114
bert-base-german-cased-GermanDPR-XQA-HP-10neg-epoch1-part2,0.22552407279428988,0.3056899331951207,0.3517622667588166,0.3833218152499483,0.40405436535361144,0.4227136604469083,0.448514167242578,0.4685556323427857,0.5335176226675888,0.6224372264455005,0.6839437917530197
bert-base-german-cased-GermanDPR-XQA-HP-10neg-epoch1-part3,0.23473853950702905,0.32089380327114037,0.3676572218382917,0.4003685786685158,0.42432619212163764,0.4413729555402051,0.470628887353152,0.4920525224602706,0.561852107809255,0.646625201566435,0.7083621285417726
bert-base-german-cased-GermanDPR-XQA-HP-10neg-epoch1-part4,0.22229900944483116,0.3059202948629392,0.3517622667588166,0.3777931352223048,0.3992167703294234,0.4211011287721789,0.45450357060585844,0.47892190739461726,0.5503340244183338,0.6376410965215165,0.7046763418566778
bert-base-german-cased-GermanDPR-XQA-HP-10neg-epoch1-part5,0.23450817783921057,0.32457958995623604,0.3711126468555689,0.40175074867542665,0.4291637871458257,0.4473623589034856,0.4752361207095216,0.49573830914536626,0.5731398295323578,0.6597558166320852,0.7212623819396043
bert-base-german-cased-GermanDPR-XQA-HP-10neg-epoch1-part6,0.24510481455886063,0.33609767334716,0.37710205021884935,0.40935268371343647,0.43077631882055506,0.44897489057821494,0.4782308223911618,0.5031098825155569,0.5823542962450947,0.6751900483759196,0.7366966136834388
