,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
GermanDPR-XQA-HP-10neg-DPRe1p8-XQAe1p18-HPe1p15,0.1810225702441269,0.24527867342238568,0.28212805158913296,0.30769230769231426,0.3265776140027725,0.34385076001843556,0.36688162137265296,0.3804698295716412,0.4442653155228234,0.5207277752188201,0.5764624596960127
GermanDPR-XQA-HP-10neg-DPRe1p7-XQAe1p18-HPe1p19,0.28558268079226556,0.3834638415476895,0.43505297098113643,0.4670658682634986,0.5002303086135715,0.5191156149240252,0.5506678949792955,0.576923076923097,0.656840165822212,0.7531091662828175,0.8074619990787575
old,0.29272224781207296,0.3832335329341473,0.43136803316446165,0.46591432519578774,0.4919391985260534,0.5115154306771353,0.5444495624136583,0.5637954859511962,0.6342699216950844,0.7095808383233572,0.7620912022109602
