,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
GermanDPR-XQA-HP-10neg-DPRe1p8-XQAe1p18-HPe1p15,0.3982300884955708,0.4948944860449224,0.5391422736555443,0.5690946221919656,0.600408441116406,0.6262763784887698,0.6521443158611336,0.6712049012934017,0.7317903335602538,0.7991831177672016,0.8339006126616899
GermanDPR-XQA-HP-10neg-DPRe1p7-XQAe1p18-HPe1p19,0.30428863172225723,0.3846153846153804,0.423417290673923,0.45200816882232275,0.4717494894485988,0.49217154526888435,0.5214431586112954,0.5459496255956401,0.6106194690265496,0.6855003403676028,0.7283866575902059
old,0.30905377808032386,0.38938053097344705,0.43430905377807527,0.46630360789652264,0.4894486044928463,0.517358747447238,0.5398230088495539,0.5656909462219177,0.627637848876789,0.7025187202178421,0.7583390061266272
