,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-1neg-epoch2-part5,0.1193960511033685,0.1649245063879192,0.2016260162601587,0.2234610917537696,0.240882694541225,0.2578397212543484,0.2859465737514432,0.304529616724729,0.3637630662020776,0.4548199767711782,0.5131242740998657
bert-base-german-cased-GermanDPR-1neg-epoch2-part6,0.1186991869918703,0.1639953542392549,0.196051103368173,0.2218350754936071,0.2392566782810625,0.2552845528455216,0.2847851335656128,0.3031358885017326,0.3663182346109044,0.4562137049941747,0.5159117305458593
bert-base-german-cased-GermanDPR-1neg-epoch2-part7,0.1117305458768877,0.1549361207897781,0.186527293844364,0.2113821138211338,0.2308943089430839,0.2478513356562072,0.2710801393728145,0.2929152148664254,0.3549361207897669,0.4459930313588675,0.5070847851335464
bert-base-german-cased-GermanDPR-1neg-epoch2-part8,0.101974448315912,0.1479674796747959,0.1781649245063853,0.2002322880371623,0.2162601626016213,0.2297328687572535,0.2527293844366948,0.2736353077816413,0.336120789779315,0.4236933797909245,0.4915214866434177
bert-base-german-cased-GermanDPR-1neg-epoch2-part9,0.1047619047619051,0.1475029036004637,0.1767711962833889,0.199303135888498,0.2176538908246177,0.2348432055749071,0.2594657375145109,0.2764227642276342,0.3416957026713007,0.4290360046457441,0.4908246225319195
bert-base-german-cased-GermanDPR-1neg-epoch2-part10,0.1054587688734033,0.151451800232287,0.1793263646922157,0.1995354239256641,0.2169570267131195,0.2336817653890768,0.2569105691056841,0.2771196283391324,0.3414634146341346,0.4295005807200763,0.4975609756097356
bert-base-german-cased-GermanDPR-XQA-1neg-epoch1-part1,0.1502903600464566,0.1988385598141658,0.2367015098722357,0.2587688734030127,0.2780487804877967,0.2919860627177611,0.3177700348431952,0.3382113821138096,0.4069686411149672,0.4873403019744284,0.5444831591172931
bert-base-german-cased-GermanDPR-XQA-1neg-epoch1-part2,0.1523809523809512,0.2125435540069641,0.2492450638792037,0.2710801393728145,0.2889663182346021,0.3054587688733933,0.3307781649244953,0.3563298490127633,0.4209059233449316,0.5089430894308754,0.5704994192798994
bert-base-german-cased-GermanDPR-XQA-1neg-epoch1-part3,0.1797909407665479,0.2364692218350697,0.2738675958188074,0.3017421602787362,0.3212543554006863,0.3423925667827989,0.3700348432055616,0.3881533101045153,0.4559814169570086,0.5356562137049802,0.5953542392566752
bert-base-german-cased-GermanDPR-XQA-1neg-epoch1-part4,0.2048780487804837,0.2740998838559735,0.3156794425087005,0.3451800232287918,0.3656213704994062,0.3858304297328546,0.4141695702671155,0.4364692218350585,0.5040650406503867,0.5839721254355349,0.6373983739837444
