,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-10neg-epoch1-part13,0.08914996544575,0.1237042156185219,0.145818935729096,0.156415572448746,0.1686247408431254,0.1780695692236831,0.1948859709744321,0.2050218843584452,0.2453351762266791,0.3033863165169359,0.3453121400598992
bert-base-german-cased-GermanDPR-10neg-epoch1-part14,0.0856945404284728,0.1181755355908784,0.139599170697997,0.1548030407740167,0.1635567841511189,0.1713890808569472,0.1856715042616929,0.1988021193273462,0.2370421561852138,0.2964754664823815,0.3407049067035296
bert-base-german-cased-GermanDPR-10neg-epoch1-part15,0.0829302004146511,0.1151808339092382,0.1363741073485383,0.1490439990785547,0.1591799124625678,0.1683943791753069,0.1822160792444157,0.1946556093066136,0.2319741994932073,0.2897949781156456,0.3377102050218893
bert-base-german-cased-GermanDPR-10neg-epoch1-part16,0.0820087537433771,0.1161022805805121,0.139599170697997,0.1513476157567395,0.1619442524763895,0.1739230592029504,0.1916609076249734,0.2036397143515343,0.2432619212163128,0.3047684865238468,0.3538355217691829
bert-base-german-cased-GermanDPR-10neg-epoch1-part17,0.0787836903939184,0.1068878138677729,0.1264685556323437,0.1393688090301785,0.1501958074176471,0.1573370191200199,0.173231974199495,0.1849804192582375,0.2211472011057387,0.2805805114029064,0.3278046533056947
bert-base-german-cased-GermanDPR-10neg-epoch1-part18,0.0755586270444597,0.1041234738539512,0.1220916839437926,0.1359133840129013,0.1437456807187296,0.1522690624280134,0.1693158258465809,0.1771481225524092,0.2167703294171876,0.2715964063579857,0.3220456116102327
bert-base-german-cased-GermanDPR-10neg-epoch1-part19,0.0801658604008293,0.1098825155494132,0.1292328956461654,0.1430545957152742,0.1545726791061982,0.1610228058051156,0.1746141442064059,0.184750057590419,0.2229900944482866,0.2801197880672695,0.3284957383091502
bert-base-german-cased-GermanDPR-10neg-epoch1-part20,0.0737157337019119,0.0995162404975816,0.1135683022345088,0.1262381939645252,0.139599170697997,0.1499654457498286,0.1656300391614852,0.1773784842202276,0.2114720110573626,0.2669891730016162,0.313061506565312
bert-base-german-cased-GermanDPR-10neg-epoch2-part1,0.0813176687399217,0.1101128772172316,0.1303847039852578,0.144897489057822,0.1550334024418351,0.1635567841511189,0.1782999308915016,0.1909698226215179,0.2317438378253888,0.2916378714581935,0.3347155033402491
bert-base-german-cased-GermanDPR-10neg-epoch2-part2,0.0840820087537435,0.1133379405666903,0.1313061506565317,0.1451278507256405,0.1536512324349243,0.162174614144208,0.1741534208707689,0.1877447592720592,0.223681179451742,0.2870306381018239,0.3294171849804241
bert-base-german-cased-GermanDPR-10neg-epoch2-part3,0.0799354987330108,0.1103432388850501,0.1271596406357991,0.140059894033634,0.151117254088921,0.1596406357982047,0.1759963142133168,0.1861322275973299,0.2250633494586529,0.2828841280810912,0.330338631651698
bert-base-german-cased-GermanDPR-10neg-epoch2-part4,0.0750979037088228,0.1043538355217696,0.1209398756047002,0.1333794056668981,0.1462796590647329,0.1536512324349243,0.1660907624971221,0.1780695692236831,0.218382861091917,0.2729785763648966,0.319281271596411
