,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-XQA-HP-epoch5,0.3670150987224027,0.4880371660859267,0.5486643437862834,0.5879210220673591,0.6206736353077832,0.6411149825784025,0.6657375145180121,0.6887340301974588,0.7565621370499683,0.8206736353078198,0.857142857142902
bert-base-german-cased-GermanDPR-1neg-epoch1,0.1226480836236938,0.1702671312427389,0.2011614401858266,0.2283391405342571,0.2452961672473804,0.2585365853658466,0.2843205574912807,0.3040650406503969,0.3704994192798937,0.4557491289198425,0.5110336817653706
bert-base-german-cased-GermanDPR-1neg-epoch2,0.0926829268292686,0.132636469221835,0.1567944250871066,0.1777003484320532,0.1937282229965122,0.2078977932636427,0.2255516840882642,0.2483159117305394,0.3098722415795487,0.3886178861788474,0.4555168408826764
bert-base-german-cased-GermanDPR-1neg-epoch3,0.0673635307781651,0.096631823461092,0.1182346109175381,0.1337979094076654,0.1442508710801387,0.1570267131242727,0.1742160278745621,0.1909407665505194,0.2476190476190412,0.3275261324041703,0.3900116144018439
bert-base-german-cased-GermanDPR-1neg-epoch4,0.0520325203252034,0.0817653890824625,0.0984901277584207,0.1112659698025555,0.1235772357723581,0.132404181184669,0.1488966318234602,0.1632984901277567,0.209059233449473,0.2864111498257753,0.3421602787456329
bert-base-german-cased-GermanDPR-XQA-1neg-epoch1,0.2367015098722357,0.3217189314750184,0.3718931475028902,0.4034843205574761,0.4297328687572423,0.4485481997676943,0.482694541231107,0.5033681765388883,0.5721254355400623,0.6452961672473928,0.694541231126612
bert-base-german-cased-GermanDPR-XQA-1neg-epoch2,0.2276422764227589,0.3054587688733933,0.3528455284552722,0.3867595818815189,0.4113821138211226,0.4332171893147334,0.4620209059233265,0.4847851335656016,0.547967479674785,0.6262485481997703,0.6801393728223121
bert-base-german-cased-GermanDPR-XQA-1neg-epoch3,0.1914053426248515,0.2680603948896556,0.310801393728213,0.3407665505226364,0.3644599303135759,0.3867595818815189,0.4176538908246066,0.4390243902438853,0.5066202090592141,0.5849012775841994,0.6408826945412364
bert-base-german-cased-GermanDPR-XQA-1neg-epoch4,0.1651567944250853,0.2318234610917482,0.2717770034843128,0.304529616724729,0.3272938443670042,0.3435540069686293,0.3721254355400563,0.3955865272938296,0.4569105691056729,0.5391405342624721,0.6027874564459913
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch1,0.34053426248547036,0.4543554006968461,0.5128919860626996,0.5502903600464463,0.5802555168408768,0.6011614401858284,0.6325203252032557,0.6576074332171976,0.7293844367015313,0.8097560975610117,0.8550522648084068
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch2,0.33565621370498283,0.44552845528453533,0.510104529616706,0.5495934959349479,0.5753774680603881,0.5944250871080107,0.6243902439024412,0.6527293844367089,0.7277584204413684,0.808362369338015,0.8541231126597423
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch3,0.32845528455283457,0.4339140534262317,0.4929152148664142,0.5347270615563157,0.5670150987224075,0.587688734030193,0.6211382113821154,0.6466898954703896,0.7170731707317265,0.8025551684088618,0.849941927990752
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch4,0.3272938443670042,0.4236933797909245,0.4817653890824427,0.5182346109175205,0.5468060394889543,0.5725900116143946,0.6085946573751445,0.6290360046457638,0.7026713124274265,0.7895470383275586,0.8392566782811101
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch5,0.3145180023228702,0.4183507549361048,0.4773519163762873,0.511730545876869,0.5454123112659576,0.566085946573743,0.602322880371659,0.6255516840882719,0.6987224157956023,0.7816492450639102,0.8327526132404585
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch6,0.30360046457606477,0.40929152148662795,0.4673635307781462,0.504529616724719,0.5337979094076511,0.5586527293844269,0.591405342624851,0.6178861788617896,0.6861788617886314,0.7691056910569393,0.8199767711963214
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch7,0.29500580720092007,0.40139372822298147,0.457142857142839,0.49523809523807494,0.5261324041811689,0.547967479674785,0.5807200929152091,0.6078977932636461,0.6819976771196411,0.7651567944251151,0.8164924506388295
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch8,0.29430894308942185,0.39558652729382965,0.45551684088267647,0.4887340301974249,0.5156794425086931,0.5391405342624721,0.5760743321718865,0.60046457607433,0.6708478513356669,0.7570267131243006,0.8078977932636827
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch9,0.28664343786294144,0.3874564459930171,0.4466898954703657,0.48315911730543915,0.5094076655052077,0.5347270615563157,0.5658536585365769,0.5953542392566752,0.6641114982578492,0.7516840882694796,0.8046457607433569
bert-base-german-cased-GermanDPR-XQA-HP-1neg-epoch10,0.28222996515678606,0.3874564459930171,0.44622531939603355,0.4792102206736159,0.5019744483158916,0.5282229965156641,0.5605110336817559,0.5869918699186946,0.6631823461091847,0.7440185830429974,0.8000000000000344
